data;valor;preco;quantidade;tipo_operacao;taxa;ativo;tipo;categoria;descricao;forma_pagamento;indicador1;indicador2
01/01/2023;160.22;160.22;1.0;Débito;0.0;;despesa;Alimentação;Supermercado;Pix;0.0;0.0
01/01/2023;903.77;903.77;1.0;Lançamento;0.0;;despesa;Educação;Cursos;Boleto;0.0;0.0
01/01/2023;87.05;87.05;1.0;Pagamento;0.0;;despesa;Transporte;Gasolina;Pix;0.0;0.0
02/01/2023;2356.67;2356.67;1.0;Pagamento;0.0;;despesa;Moradia;Luz;PIX;0.0;0.0
02/01/2023;221.28;221.28;1.0;Pagamento;0.0;;despesa;Transporte;Metrô;Boleto;0.0;0.0
02/01/2023;1121.14;1121.14;1.0;Pagamento PIX;0.0;;despesa;Saúde;Medicamento;Transferência;0.0;0.0
02/01/2023;1180.75;1180.75;1.0;Débito;0.0;;despesa;Moradia;Aluguel;Transferência;0.0;0.0
02/01/2023;551.72;551.72;1.0;Débito;0.0;;despesa;Lazer;Viagem;Débito;0.0;0.0
03/01/2023;1124.63;1124.63;1.0;Compra;0.0;;despesa;Moradia;Água;PIX;0.0;0.0
03/01/2023;3773.76;117.93;32.0;Venda;5.26;VALE3;investimento;Investimentos;ETFs;PIX;5.9651;3.038
03/01/2023;1596.04;1596.04;1.0;Pagamento PIX;0.0;;despesa;Saúde;Consulta;Crédito Parcelado;0.0;0.0
04/01/2023;537.77;537.77;1.0;Pagamento PIX;0.0;;despesa;Alimentação;Merenda;Transferência;0.0;0.0
04/01/2023;2735.94;2735.94;1.0;Transferência;0.0;;receita;Trabalho;Freelance;Transferência;0.0;0.0
04/01/2023;205.67;205.67;1.0;Lançamento;0.0;;despesa;Transporte;Taxi;Débito;0.0;0.0
04/01/2023;1297.31;1297.31;1.0;Pagamento PIX;0.0;;despesa;Saúde;Medicamento;Débito;0.0;0.0
04/01/2023;997.22;997.22;1.0;Pagamento;0.0;;despesa;Educação;Cursos;Crédito;0.0;0.0
05/01/2023;2398.91;2398.91;1.0;Pagamento PIX;0.0;;despesa;Moradia;Condomínio;Transferência;0.0;0.0
