2025-10-07 20:43:33 | INFO     | core.logger:setup_logging:116 | Sistema de logging Loguru inicializado com sucesso
2025-10-07 20:43:34 | INFO     | core.utils:validate_price:53 | Preço validado: R$ 299.90
2025-10-07 20:43:34 | INFO     | core.logger:log_user_action:202 | Ação do usuário: price_validation - Preço validado: R$ 299.90
2025-10-07 20:43:34 | INFO     | core.utils:validate_price:53 | Preço validado: R$ 299.90
2025-10-07 20:43:34 | INFO     | core.logger:log_user_action:202 | Ação do usuário: price_validation - Preço validado: R$ 299.90
2025-10-07 20:43:34 | INFO     | core.utils:validate_price:53 | Preço validado: R$ 299.90
2025-10-07 20:43:34 | INFO     | core.logger:log_user_action:202 | Ação do usuário: price_validation - Preço validado: R$ 299.90
2025-10-07 20:43:34 | ERROR    | core.utils:validate_price:58 | Erro na validação de preço 'abc': could not convert string to float: ''
2025-10-07 20:43:34 | INFO     | core.utils:validate_product_name:91 | Nome de produto validado: iPhone 15 Pro Max
2025-10-07 20:43:34 | INFO     | core.utils:validate_product_name:91 | Nome de produto validado: iPhone 15
2025-10-07 20:43:34 | INFO     | core.database:create_product:40 | Produto criado com sucesso: ID 1, Nome: iPhone 15
2025-10-07 20:43:34 | INFO     | core.logger:log_database_operation:225 | DB INSERT em products (ID: 1) executado com sucesso
2025-10-07 20:43:34 | INFO     | core.database:get_product:55 | Produto encontrado: ID 1
2025-10-07 20:43:34 | WARNING  | core.database:get_product:57 | Produto não encontrado: ID 999
2025-10-07 20:43:55 | INFO     | core.logger:setup_logging:116 | Sistema de logging Loguru inicializado com sucesso
2025-10-07 20:43:55 | INFO     | __main__:initialize_session_state:118 | Session state inicializado
2025-10-07 20:43:55 | INFO     | core.database:get_stats:410 | Estatísticas calculadas: {'total_products': 0, 'active_alerts': 0, 'products_with_history': 0, 'products_with_tags': 0, 'coverage_percentage': 0}
2025-10-07 20:43:55 | INFO     | core.database:__exit__:440 | Transação commitada com sucesso
2025-10-07 20:43:55 | INFO     | core.database:get_active_alerts:317 | Encontrados 0 alertas ativos
2025-10-07 20:43:55 | INFO     | core.database:__exit__:440 | Transação commitada com sucesso
2025-10-07 20:43:55 | ERROR    | __main__:display_ai_insights:343 | Erro ao gerar insight: Cliente Gemini não configurado. Defina a chave da API primeiro.
2025-10-07 20:43:55 | INFO     | __main__:main:390 | Página inicial carregada com sucesso
2025-10-07 20:44:17 | INFO     | core.database:get_all_products:80 | Listados 0 produtos (offset: 0, limit: 10)
2025-10-07 20:44:17 | INFO     | core.database:__exit__:440 | Transação commitada com sucesso
2025-10-07 20:44:17 | INFO     | __main__:main:407 | Página de pesquisa carregada com sucesso
2025-10-07 20:44:39 | INFO     | core.logger:log_user_action:202 | Ação do usuário: Pesquisa iniciada: Geladeira Samsunga
2025-10-07 20:44:39 | ERROR    | core.ai_services:search_products_with_gemini:179 | Erro na busca de produtos 'Geladeira Samsunga': Cliente Gemini não configurado. Defina a chave da API primeiro.
2025-10-07 20:44:39 | INFO     | core.logger:log_performance:245 | Performance - search_products | Duration: 0.000s | success=False
2025-10-07 20:44:39 | ERROR    | __main__:display_search_section:98 | Erro na pesquisa: Falha na busca de produtos: Cliente Gemini não configurado. Defina a chave da API primeiro.
